row_id,column_id,mean_distance_across_seeds
2.201,2.201,0.0
2.201,2.202,1.7926645311713654
2.201,2.203,1.6575316555480757
2.201,2.21,2.1369987177459153
2.201,2.22,3.1667828419862936
2.202,2.201,1.7926645311713654
2.202,2.202,0.0
2.202,2.203,1.7293354369851037
2.202,2.21,2.548207865688898
2.202,2.22,3.5770772455096997
2.203,2.201,1.6575316555480757
2.203,2.202,1.7293354369851037
2.203,2.203,0.0
2.203,2.21,2.5362610618353045
2.203,2.22,3.476452039633396
2.21,2.201,2.1369987177459153
2.21,2.202,2.548207865688898
2.21,2.203,2.5362610618353045
2.21,2.21,0.0
2.21,2.22,2.702529064191487
2.22,2.201,3.1667828419862936
2.22,2.202,3.5770772455096997
2.22,2.203,3.476452039633396
2.22,2.21,2.702529064191487
2.22,2.22,0.0
